document,line,stated_usd,computed_usd,variance_usd,status,line_order
"Funding Act sec. 14, Aug 1790",Quota column,21500000.0,21500000.0,0.0,Ties,1
"Schedule E, Jan 1790",Nine known states ('about twenty-one millions and a half'),21500000.0,21501205.61,1205.609999999404,Ties (rounded),2
"Enclosure D, Jan 1792","Subscribed column, as printed",18328186.21,17798186.21,-530000.0,Does not foot,3
"Enclosure D, Jan 1792","Subscribed column, after NC reconciliation",18328186.21,18298186.21,-30000.0,Does not foot,4
"Enclosure D, Jan 1792",Unsubscribed column,4427665.61,4427635.61,-30.0,Ties (rounded),5
"Enclosure D, Jan 1792",Over-subscribed column,1255851.82,1255851.82,0.0,Ties,6
"Enclosure D, Jan 1792",Quota - unsubscribed + over-subscribed,18328186.21,18328216.21,30.0,Ties (rounded),7
"Bayley (Treasury, 1881)",Amount assumed column,18271786.47,18271786.47,0.0,Ties,8
"Commissioners, Jun 1793",Creditor states (Jefferson's pencilled total),3517584.0,3517584.0,0.0,Ties,9
"Commissioners, Jun 1793",Debtor states,3517584.0,3517584.0,0.0,Ties,10
